what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1332661264282
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1332661264283
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1332661264284
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1332661264284
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1332661264285
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1332661264286
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1332661264287
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1332661264288
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1332661264288
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1332661264289
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1332661264290
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1332661264292
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1332661264292
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1332661264293
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1332661264293
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1332661264294
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1332661264295
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1332661264296
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1332661264297
started,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1332661264297
os,sysinfo,,,"win32",1332661264299
arch,sysinfo,,,"x86",1332661264299
ws,sysinfo,,,"win32",1332661264300
locale,sysinfo,,,"th_TH",1332661264300
processors,sysinfo,,,"4",1332661264300
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332661264300
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1332661264300
java.specification.name,sysinfo,,,"Java Platform API Specification",1332661264300
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332661264300
java.specification.version,sysinfo,,,"1.6",1332661264300
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1332661264300
java.version,sysinfo,,,"1.6.0_24",1332661264300
java.vm.info,sysinfo,,,"mixed mode, sharing",1332661264300
